Pattern||Context Indicator||Transaction 1||Transaction 2||Transaction 3||Transaction 4||SSP - Co-Author||SSP - Title
yiqun_liu shaoping_ma||search; recommendation; behavior; user; investigate; cheng_luo||investigate user search behavior facing heterogeneous search service||investigate examination behavior mobile search||investigate reading behavior fine-grained relevance judgment||influence image search intent user behavior satisfaction||min_zhang&shaoping_ma; yiqun_liu&min_zhang; yiqun_liu&min_zhang&shaoping_ma||behavior; model; search; recommendation; user
min_zhang shaoping_ma||search; recommendation; model; user; behavior; hongyu_lu; cheng_luo&jiaxin_mao||incorporate revisite behavior click model||beyond user embed matrix learning hash model large-scale user recommendation||influence image search intent user behavior satisfaction||construct click model mobile search||yiqun_liu&shaoping_ma; yiqun_liu&min_zhang&shaoping_ma; yiqun_liu&min_zhang||user; behavior; recommendation; search; model; investigate
yiqun_liu min_zhang shaoping_ma||search; recommendation; behavior; model; user||incorporate revisite behavior click model||beyond user embed matrix learning hash model large-scale user recommendation||influence image search intent user behavior satisfaction||investigate examination behavior mobile search||yiqun_liu&shaoping_ma; min_zhang&shaoping_ma; yiqun_liu&min_zhang||user; behavior; recommendation; search; model; investigate
jiaxin_mao yiqun_liu||search; behavior; evaluate; investigate; evaluate metric; w._bruce_croft&qingyao_ai; maarten_de_rijke&xiaohui_xie||preference-based evaluate metric web image search||towards designing better session search evaluate metric||cascade recent construct better evaluate metric session search||model versus satisfaction towards better understanding evaluate metric||jiaxin_mao&shaoping_ma&yiqun_liu&min_zhang; jiaxin_mao&yiqun_liu&shaoping_ma; jiaxin_mao&shaoping_ma||evaluate; behavior; search; evaluate metric; better; investigate; web search
jiaxin_mao shaoping_ma||search; evaluate; investigate; better; evaluate metric||towards designing better session search evaluate metric||cascade recent construct better evaluate metric session search||model versus satisfaction towards better understanding evaluate metric||preference-based evaluate metric web image search||jiaxin_mao&yiqun_liu&min_zhang; jiaxin_mao&yiqun_liu; jiaxin_mao&yiqun_liu&shaoping_ma||evaluate; behavior; search; evaluate metric; better; investigate; web search
jiaxin_mao min_zhang||search; investigate; behavior; evaluate; web search; weizhi_ma&yongfeng_zhang&shaoyun_shi&hanxiong_chen||investigate examination behavior mobile search||preference-based evaluate metric web image search||investigate result usefulness mobile search||improve web image search contextual information||shaoping_ma&jiaxin_mao&min_zhang; jiaxin_mao&yiqun_liu&min_zhang; jiaxin_mao&shaoping_ma&yiqun_liu&min_zhang||evaluate; behavior; search; investigate; web search
jiaxin_mao yiqun_liu shaoping_ma||search; evaluate; investigate; better; evaluate metric||towards designing better session search evaluate metric||cascade recent construct better evaluate metric session search||model versus satisfaction towards better understanding evaluate metric||preference-based evaluate metric web image search||jiaxin_mao&yiqun_liu&min_zhang; jiaxin_mao&yiqun_liu; jiaxin_mao&shaoping_ma||evaluate; behavior; search; evaluate metric; better; investigate; web search
shaoping_ma jiaxin_mao min_zhang||search; investigate; behavior; evaluate; web search||investigate examination behavior mobile search||preference-based evaluate metric web image search||investigate result usefulness mobile search||improve web image search contextual information||jiaxin_mao&min_zhang; jiaxin_mao&yiqun_liu&min_zhang; jiaxin_mao&shaoping_ma&yiqun_liu&min_zhang||evaluate; behavior; search; investigate; web search
jiaxin_mao yiqun_liu min_zhang||search; investigate; behavior; evaluate; web search||investigate examination behavior mobile search||preference-based evaluate metric web image search||investigate result usefulness mobile search||improve web image search contextual information||jiaxin_mao&min_zhang; shaoping_ma&jiaxin_mao&min_zhang; jiaxin_mao&shaoping_ma&yiqun_liu&min_zhang||evaluate; behavior; search; investigate; web search
jiaxin_mao shaoping_ma yiqun_liu min_zhang||search; investigate; behavior; evaluate; web search||investigate examination behavior mobile search||preference-based evaluate metric web image search||investigate result usefulness mobile search||improve web image search contextual information||jiaxin_mao&min_zhang; shaoping_ma&jiaxin_mao&min_zhang; jiaxin_mao&yiqun_liu&min_zhang||evaluate; behavior; search; investigate; web search
jiafeng_guo xueqi_cheng||model; document; generation; text; neural; yanyan_lan||local linear matrix factorize document model||outline generation understanding inherent content structure document||spherical paragraph model||ranking enhance dialogue generation||xueqi_cheng&yanyan_lan; jiafeng_guo&xueqi_cheng&yanyan_lan; jiafeng_guo&yanyan_lan||document; generation; model; learning; representation; demography; ranking
xueqi_cheng yanyan_lan||model; ranking; document; generation; learning; liang_pang; jun_xu||ranking enhance dialogue generation||local linear matrix factorize document model||outline generation understanding inherent content structure document||setrank learning permutation-invariant ranking model information retrieval||jiafeng_guo&xueqi_cheng; jiafeng_guo&yanyan_lan; jiafeng_guo&xueqi_cheng&yanyan_lan||neural; text; document; generation; model; representation; demography
jiafeng_guo yanyan_lan||model; document; generation; demography; representation||aggregate neural word embed document representation||multi-task representation learning demography prediction||local linear matrix factorize document model||outline generation understanding inherent content structure document||xueqi_cheng&yanyan_lan; jiafeng_guo&xueqi_cheng; jiafeng_guo&xueqi_cheng&yanyan_lan||neural; text; document; generation; model; learning; representation; demography; ranking
jiafeng_guo xueqi_cheng yanyan_lan||model; document; generation; demography; representation||aggregate neural word embed document representation||multi-task representation learning demography prediction||local linear matrix factorize document model||outline generation understanding inherent content structure document||xueqi_cheng&yanyan_lan; jiafeng_guo&xueqi_cheng; jiafeng_guo&yanyan_lan||neural; text; document; generation; model; learning; representation; demography; ranking
guillaume_cabanac ingo_frommholz||bibliometric-enhanced information; bibliometric-enhanced information retrieval; workshop; bibliometric-enhanced information retrieval workshop; workshop bibliometric-enhanced information retrieval||bibliometric-enhanced information retrieval 10th anniversary workshop edition||bibliometric-enhanced information retrieval 8th international bir workshop||bibliometric-enhanced information retrieval 3rd international bir workshop||preface 10th workshop bibliometric-enhanced information retrieval ecir 2020||ingo_frommholz&philipp_mayr; guillaume_cabanac&ingo_frommholz&philipp_mayr; guillaume_cabanac&philipp_mayr||bibliometric-enhanced information retrieval; bibliometric-enhanced information retrieval workshop; workshop; workshop bibliometric-enhanced information retrieval; bibliometric-enhanced information
guillaume_cabanac philipp_mayr||bibliometric-enhanced information; bibliometric-enhanced information retrieval; workshop; bibliometric-enhanced information retrieval workshop; workshop bibliometric-enhanced information retrieval||bibliometric-enhanced information retrieval 10th anniversary workshop edition||bibliometric-enhanced information retrieval 8th international bir workshop||bibliometric-enhanced information retrieval 3rd international bir workshop||preface 10th workshop bibliometric-enhanced information retrieval ecir 2020||ingo_frommholz&philipp_mayr; guillaume_cabanac&ingo_frommholz; guillaume_cabanac&ingo_frommholz&philipp_mayr||bibliometric-enhanced information retrieval; bibliometric-enhanced information retrieval workshop; workshop; workshop bibliometric-enhanced information retrieval; bibliometric-enhanced information
guillaume_cabanac ingo_frommholz philipp_mayr||bibliometric-enhanced information; bibliometric-enhanced information retrieval; workshop; bibliometric-enhanced information retrieval workshop; workshop bibliometric-enhanced information retrieval||bibliometric-enhanced information retrieval 10th anniversary workshop edition||bibliometric-enhanced information retrieval 8th international bir workshop||bibliometric-enhanced information retrieval 3rd international bir workshop||preface 10th workshop bibliometric-enhanced information retrieval ecir 2020||ingo_frommholz&philipp_mayr; guillaume_cabanac&ingo_frommholz; guillaume_cabanac&philipp_mayr||bibliometric-enhanced information retrieval; bibliometric-enhanced information retrieval workshop; workshop; workshop bibliometric-enhanced information retrieval; bibliometric-enhanced information
weinan_zhang jun_wang||advertising; display; learning; display advertising; real-time advertising||feedback control real-time display advertising||learning adapt display exposure real-time advertising||real-time bidding reinforcement learning display advertising||real-time bidding base display advertising mechanism algorithm||weinan_zhang&yong_yu; michael_bendersky&marc_najork; weizhi_ma&min_zhang||learning personal search; via; prediction; learning rank; learning graph; document; model; learning; reinforcement learning; search; recommendation; better; learning recommendation
maarten_de_rijke pengjie_ren||recommendation; improve; improve recommendation; prediction; sequential recommendation; zhumin_chen; zhaochun_ren; jun_ma&zhumin_chen||improve end-to-end sequential recommendation intent-aware diversify||improve outfit recommendation co-supervision fashion generation||-net parallel information-sharing network shared-account cross-domain sequential recommendation||collaborate session-based recommendation approach parallel memory module||xing_xie&fangzhao_wu; xiangnan_he&tat-seng_chua; ji-rong_wen&wayne_xin_zhao||neural; improve; graph recommendation; neural recommendation; network; reasoning graph recommendation; recommendation; learning; graph; sequential recommendation; news recommendation; neural prediction; learning recommendation
xiangnan_he tat-seng_chua||recommendation; graph; graph recommendation; learning recommendation; reasoning graph recommendation; xiang_wang||learning reasoning graph recommendation||interact path reasoning graph conversational recommendation||kgat knowledge graph attention network recommendation||reinforce negative sample knowledge graph recommendation||ji-rong_wen&wayne_xin_zhao; weizhi_ma&min_zhang; xiangnan_he&xiang_wang||improve; learning graph; graph recommendation; network; reasoning graph recommendation; recommendation; learning; sequential recommendation; graph; graph network recommendation; better; learning recommendation
xing_xie fangzhao_wu||neural; neural prediction; recommendation; neural recommendation; news recommendation; junxin_liu||npa neural news recommendation personalize attention||fine-grained interest matching neural news recommendation||nrpa neural recommendation personalize attention||mind large-scale dataset news recommendation||yongfeng_huang&chuhan_wu; chuhan_wu&xing_xie&fangzhao_wu; xing_xie&chuhan_wu||neural; neural sentiment classification; recommendation; representation; neural prediction; neural review rating prediction
chuhan_wu fangzhao_wu||neural; neural prediction; recommendation; news recommendation; representation; tao_qi&yongfeng_huang; xiaohui_cui&tao_qi&yongfeng_huang; suyu_ge&tao_qi&yongfeng_huang||npa neural news recommendation personalize attention||graph enhance representation learning news recommendation||neural gender prediction microblogg emotion-aware user representation||nrpa neural recommendation personalize attention||chuhan_wu&xing_xie&fangzhao_wu; xing_xie&chuhan_wu; xing_xie&fangzhao_wu||neural; neural recommendation; neural sentiment classification; recommendation; news recommendation; neural prediction; neural review rating prediction
xing_xie chuhan_wu||neural; neural prediction; recommendation; neural review rating prediction; neural sentiment classification||arp aspect-aware neural review rating prediction||neural review rating prediction user product memory||sentiment lexicon enhance neural sentiment classification||neural demography prediction use search query||yongfeng_huang&fangzhao_wu; chuhan_wu&yongfeng_huang&fangzhao_wu; chuhan_wu&xing_xie&fangzhao_wu||neural; neural sentiment classification; recommendation; representation; neural prediction; neural review rating prediction
yongfeng_huang chuhan_wu||neural; neural prediction; representation; neural review rating prediction; neural sentiment classification; junxin_liu||arp aspect-aware neural review rating prediction||neural review rating prediction user product memory||sentiment lexicon enhance neural sentiment classification||neural gender prediction microblogg emotion-aware user representation||xing_xie&chuhan_wu; yongfeng_huang&fangzhao_wu; chuhan_wu&yongfeng_huang&fangzhao_wu||neural; neural sentiment classification; recommendation; representation; neural prediction; neural review rating prediction
chuhan_wu xing_xie fangzhao_wu||neural; neural prediction; recommendation; neural review rating prediction; neural sentiment classification||arp aspect-aware neural review rating prediction||neural review rating prediction user product memory||sentiment lexicon enhance neural sentiment classification||neural demography prediction use search query||yongfeng_huang&fangzhao_wu; chuhan_wu&yongfeng_huang&fangzhao_wu; xing_xie&chuhan_wu||neural; neural sentiment classification; recommendation; representation; neural prediction; neural review rating prediction
chuhan_wu yongfeng_huang fangzhao_wu||neural; neural prediction; representation; neural review rating prediction; neural sentiment classification||arp aspect-aware neural review rating prediction||neural review rating prediction user product memory||sentiment lexicon enhance neural sentiment classification||neural gender prediction microblogg emotion-aware user representation||xing_xie&chuhan_wu; yongfeng_huang&chuhan_wu; yongfeng_huang&fangzhao_wu||neural; neural sentiment classification; recommendation; representation; neural prediction; neural review rating prediction
yongfeng_huang fangzhao_wu||neural; neural prediction; representation; neural review rating prediction; neural sentiment classification||arp aspect-aware neural review rating prediction||neural review rating prediction user product memory||sentiment lexicon enhance neural sentiment classification||neural gender prediction microblogg emotion-aware user representation||xing_xie&chuhan_wu; yongfeng_huang&chuhan_wu; chuhan_wu&yongfeng_huang&fangzhao_wu||neural; neural sentiment classification; recommendation; representation; neural prediction; neural review rating prediction
kai_shu huan_liu||detection; fake news detection; fake news theories, detection; network; social; suhang_wang||defend explain fake news detection||beyond news contents role social context fake news detection||fake news fundamental theories, detection strategy challenge||fake news research theories, detection strategies, open problem||peng_cui&wenwu_zhu; vasudeva_varma&manish_gupta; huan_liu&jundong_li||information; neural; network embed; attribute network; social; network data; network; learning; detection; tweet; use; application
ji-rong_wen wayne_xin_zhao||recommendation; network; improve; sequential recommendation; learning||improve sequential recommendation knowledge-enhanced memory network||sequential recommendation self-attentive multi-adversarial network||taxonomy-aware multi-hop reasoning network sequential recommendation||s3-rec self-supervised learning sequential recommendation mutual information maximize||xiangnan_he&tat-seng_chua; weizhi_ma&min_zhang; maarten_de_rijke&pengjie_ren||prediction; improve; graph recommendation; learning graph; improve recommendation; reasoning graph recommendation; recommendation; learning; sequential recommendation; learning recommendation; graph; better
xiuqiang_he ruiming_tang||network; convolution; convolution network; graph network; recommendation; huifeng_guo||neighbor interaction aware graph convolution network recommendation||tgcn tag graph convolution network tag-aware recommendation||framework recommend accurate diverse item use bayesian graph convolution neural network||multi-branch convolution network context-aware recommendation||qing_he&fuzhen_zhuang; huan_liu&jundong_li; tong_chen&hongzhi_yin||neural; graph network; neural network; attribute network; network data; network; recommendation; learning; detection; network prediction; sequence
weinan_zhang yong_yu||learning; model; reinforcement learning; via; prediction||interact recommend system via knowledge graph-enhanced reinforcement learning||generalight improve environment generalization traffic signal control via meta reinforcement learning||multi-agent reinforcement learning order-dispatching via order-vehicle distribution matching||real-time bidding reinforcement learning display advertising||yang_wang&fang_chen; michael_bendersky&marc_najork; weizhi_ma&min_zhang||learning personal search; sparse; prediction; learning rank; monitor; document; learning graph; recommendation; learning; search; better; process; learning recommendation
huan_liu jundong_li||network; attribute network; learning; detection; network data||deep anomaly detection attribute network||interact anomaly detection attribute network||graph prototype network few-shot learning attribute network||adapt unsupervised feature selection attribute network||enhong_chen&qi_liu; xiuqiang_he&ruiming_tang; tong_chen&hongzhi_yin||neural; graph network; convolution; neural network; convolution network; exploit; network; recommendation; learning; network prediction
weizhi_ma min_zhang||recommendation; learning; better; learning graph; learning recommendation||joint learning explain rule recommendation knowledge graph||joint non-sampling learning knowledge graph enhance recommendation||learning better representations neural information retrieval graph information||beyond user embed matrix learning hash model large-scale user recommendation||xiangnan_he&xiang_wang; ji-rong_wen&wayne_xin_zhao; xiangnan_he&tat-seng_chua||improve; graph recommendation; network; reasoning graph recommendation; recommendation; learning; sequential recommendation; graph network recommendation; learning recommendation; graph
qing_he fuzhen_zhuang||network; neural; recommendation; sequence; neural network||neural hierarchy factorize machine user's event sequence analysis||general cross-domain recommendation framework via bayesian neural network||model users' behavior sequence hierarchy explain network cross-domain fraud detection||impact person-organization fit talent management structure-aware convolution neural network approach||ninghao_liu&xia_hu; enhong_chen&qi_liu; tong_chen&hongzhi_yin||neural; graph network; neural network; interpretation; exploit; recommend system; network; recommendation; learning; network prediction
ninghao_liu xia_hu||network; neural; neural network; interpretation; recommend system||learning hash graph neural network recommend system||towards interpretation recommend system sort explanation path||deep neural network knowledge instill||interpretation network embed via taxonomy induction||tong_chen&hongzhi_yin; enhong_chen&qi_liu; qing_he&fuzhen_zhuang||neural; graph network; neural network; exploit; network; recommendation; learning; network prediction; sequence
enhong_chen qi_liu||network; learning; neural; exploit; neural network||exploit topic-based adversarial neural network cross-domain keyphrase extraction||aftershock detection multi-scale description base neural network||asgn active semi-supervised graph neural network molecular property prediction||mcne end-to-end framework learning multiple conditional network representations social network||tong_chen&hongzhi_yin; ninghao_liu&xia_hu; qing_he&fuzhen_zhuang||neural; graph network; neural network; interpretation; recommend system; network; recommendation; network prediction; sequence
jiliang_tang huan_liu||social; media; social media; feature selection; exploit||feature selection link data social media||coselect feature selection instance selection social media data||unsupervised feature selection multi-view data social media||sign network embed social media||kai_shu&huan_liu; peng_cui&wenwu_zhu; ebrahim_bagheri&fattane_zarrinkalam||information; network embed; social; mining social; network; fake news theories, detection; detection; fake news detection; mining; user; interests; application
michael_bendersky marc_najork||learning; document; search; learning personal search; learning rank||position bias estimation unbiased learning rank personal search||learning user interaction personal search via attribute parameterize||stochastic treatment learning rank score function||address trust bias unbiased learning-to-rank||xueqi_cheng&yanyan_lan; weinan_zhang&yong_yu; weizhi_ma&min_zhang||via; prediction; learning graph; document; generation; model; learning; reinforcement learning; recommendation; better; learning recommendation; ranking
lu_qin xuemin_lin||efficient; graph; efficient computation; efficient graph; network||efficient probabilistic k-core computation uncertain graph||efficient bitruss decompose large-scale bipartite graph||efficient answer span-reachability query large temporal graph||efficient (a,)-core computation index-based approach||lu_qin&wenjie_zhang; wenjie_zhang&xuemin_lin; lu_qin&ying_zhang||efficient graph; efficient computation; efficient large; efficient compute; efficient; graph; large graph
tong_chen hongzhi_yin||network; recommendation; graph network; neural network; network prediction||multi-level graph convolution network cross-platform anchor link prediction||gag global attribute graph neural network stream session-based recommendation||tada trend alignment dual-attention multi-task recurrent neural network sales prediction||exploit central information graph convolution network representation learning||enhong_chen&qi_liu; xiuqiang_he&ruiming_tang; qing_he&fuzhen_zhuang||neural; graph network; convolution; neural network; convolution network; exploit; network; recommendation; learning; sequence
yang_wang fang_chen||learning; monitor; prediction; process; sparse||corrosion prediction sewer network sparse monitor site case study||multitask learning sparse failure prediction||hierarchy beta process approach financial time series trend prediction||hawkes process stochastic trigger kernel||michael_bendersky&marc_najork; weizhi_ma&min_zhang; weinan_zhang&yong_yu||learning personal search; via; prediction; learning rank; learning graph; document; recommendation; learning; search; model; reinforcement learning; better; learning recommendation
xiangnan_he xiang_wang||graph; graph recommendation; graph network recommendation; learning recommendation; reasoning graph recommendation; meng_wang&yan_li&kuan_deng&yong-dong_zhang; liqiang_nie&wei_liu&xuemeng_song&zhumin_chen||learning reasoning graph recommendation||interact path reasoning graph conversational recommendation||kgat knowledge graph attention network recommendation||lightgcn simplify power graph convolution network recommendation||ji-rong_wen&wayne_xin_zhao; weizhi_ma&min_zhang; xiangnan_he&tat-seng_chua||improve; learning graph; graph recommendation; network; reasoning graph recommendation; recommendation; learning; sequential recommendation; graph; better; learning recommendation
lu_qin ying_zhang||efficient; graph; efficient graph; large graph; efficient computation||efficient probabilistic k-core computation uncertain graph||efficient bitruss decompose large-scale bipartite graph||efficient answer span-reachability query large temporal graph||enumerate k-vertex connected component large graph||wenjie_zhang&ying_zhang; lu_qin&xuemin_lin; wenjie_zhang&xuemin_lin||efficient graph; efficient computation; efficient spatial; efficient large; network; efficient; graph; decompose
wenjie_zhang ying_zhang||efficient; graph; decompose; efficient graph; efficient spatial||efficient bitruss decompose large-scale bipartite graph||efficient probabilistic k-core computation uncertain graph||efficient answer span-reachability query large temporal graph||efficient maximal spatial clique enumerate||wenjie_zhang&xuemin_lin; lu_qin&xuemin_lin; lu_qin&ying_zhang||efficient graph; efficient computation; efficient large; network; efficient; graph; large graph
wenjie_zhang xuemin_lin||efficient; efficient computation; graph; efficient graph; efficient large; yixing_yang&yixiang_fang||efficient probabilistic k-core computation uncertain graph||efficient bitruss decompose large-scale bipartite graph||efficient answer span-reachability query large temporal graph||effective efficient truss computation large heterogeneous information network||lu_qin&wenjie_zhang; lu_qin&xuemin_lin; lu_qin&ying_zhang||efficient graph; efficient computation; network; efficient compute; efficient; graph; large graph
lu_qin wenjie_zhang||efficient; graph; efficient computation; efficient graph; efficient compute; long_yuan&jianye_yang&lijun_chang||efficient probabilistic k-core computation uncertain graph||efficient bitruss decompose large-scale bipartite graph||efficient compute radius-bounded k-cores||efficient answer span-reachability query large temporal graph||wenjie_zhang&xuemin_lin; lu_qin&ying_zhang; lu_qin&xuemin_lin||efficient graph; efficient computation; efficient large; network; efficient; graph; large graph
hengshu_zhu hui_xiong||neural network; talent; talent approach; job; talent neural network approach; tong_xu||enhance person-job fit talent recruit ability-aware neural network approach||identify high potential talent neural network base dynamic social profile approach||impact person-organization fit talent management structure-aware convolution neural network approach||intelligent salary benchmark talent recruit holistic matrix factorize approach||ninghao_liu&xia_hu; enhong_chen&qi_liu; qing_he&fuzhen_zhuang||neural; neural network; interpretation; exploit; recommend system; network; recommendation; learning; sequence
peng_cui wenwu_zhu||network; network embed; application; information; social||learning network algorithms, theory, application||hierarchy taxonomy aware network embed||autone hyperparameter optimize massive network embed||billion-scale network embed iterate random projection||xiuqiang_he&ruiming_tang; huan_liu&jundong_li; tong_chen&hongzhi_yin||convolution; graph network; neural network; convolution network; attribute network; network data; network; recommendation; learning; detection; network prediction
quoc_viet_hung_nguyen hongzhi_yin||network; heterogeneous; representation learning; user; heterogeneous network; matthias_weidlich||online user representation learning across heterogeneous social network||pme project metric embed heterogeneous network link prediction||exploit central information graph convolution network representation learning||gcn-based user representation learning unify robust recommendation fraudster detection||enhong_chen&qi_liu; tong_chen&hongzhi_yin; huan_liu&jundong_li||neural; graph network; neural network; attribute network; network data; exploit; network; recommendation; learning; detection; network prediction
santu_rana svetha_venkatesh||bayesian; bayesian optimize; learning; framework; multi-task; sunil_gupta||stable bayesian optimize||prescriptive analytic constrained bayesian optimize||bayesian optimize weak specify search space||privacy preserve bayesian optimize high efficiency||sunil_gupta&svetha_venkatesh; santu_rana&sunil_gupta&svetha_venkatesh; dinh_q._phung&svetha_venkatesh||bayesian optimize; privacy high; multi-task; model; learning; data; estimation; use; search space; prescriptive analytic
santu_rana sunil_gupta||bayesian optimize; estimation; prescriptive analytic; privacy high; search space||prescriptive analytic constrained bayesian optimize||bayesian optimize weak specify search space||privacy preserve bayesian optimize high efficiency||level set estimation search space warp||santu_rana&svetha_venkatesh; santu_rana&sunil_gupta&svetha_venkatesh; sunil_gupta&svetha_venkatesh||privacy high; bayesian; multi-task; learning; framework; estimation; prescriptive analytic; search space; bayesian optimize
sunil_gupta svetha_venkatesh||bayesian optimize; estimation; prescriptive analytic; privacy high; search space||prescriptive analytic constrained bayesian optimize||bayesian optimize weak specify search space||privacy preserve bayesian optimize high efficiency||level set estimation search space warp||santu_rana&svetha_venkatesh; santu_rana&sunil_gupta; santu_rana&sunil_gupta&svetha_venkatesh||privacy high; bayesian; multi-task; learning; framework; estimation; prescriptive analytic; search space; bayesian optimize
santu_rana sunil_gupta svetha_venkatesh||bayesian optimize; estimation; prescriptive analytic; privacy high; search space||prescriptive analytic constrained bayesian optimize||bayesian optimize weak specify search space||privacy preserve bayesian optimize high efficiency||level set estimation search space warp||santu_rana&svetha_venkatesh; santu_rana&sunil_gupta; sunil_gupta&svetha_venkatesh||privacy high; bayesian; multi-task; learning; framework; estimation; prescriptive analytic; search space; bayesian optimize
dinh_q._phung svetha_venkatesh||learning; model; use; data; multi-task||shall share whom? multi-task learning formulation use multi-faceted task relationship||toxic prediction cancer use multiple instance learning multi-task framework||collaborate different different topic multi-relational approach multi-task learning||keeping innovation predict framework model healthcare data evolve clinical intervention||vasudeva_varma&manish_gupta; santu_rana&svetha_venkatesh; weinan_zhang&yong_yu||via; neural; prediction; bayesian; multi-task; model; learning; reinforcement learning; detection; tweet; framework; use; bayesian optimize
